"","Cy.cy","La.ca","Ci.ol","Rh.pr","Cu.fa","Al.ab","Co.eu","Ps.pe","Dr.fr","Ru.ni"
"W. Black-head. Oriole",0,0,0,0,0,0,0,0,0,0
"Wood Warbler",0,0,0,0,0,0,0,0,0,0
"Black Cuckoo",0,0,0,0,0,0,0,0,0,0
"Garden Warbler",0,0,0,0,0,0,0,0,0,0
"Vieillot's Weaver",0,0,0,0,0,0,0,0,0,0
"Brown-chested Alethe",0,0,0,0,0,0,0,3,0,0
"Turners Eremomela",0,0,0,0,0,0,0,0,0,0
"Ansorge's Greenbul",0,0,0,0,0,0,0,0,0,0
"Black-crowned Waxbill",0,0,2,0,0,2,0,0,0,0
"Wh.-breast. Negrofinch",0,0,0,0,0,0,0,0,0,0
"African Blue Flycatcher",0,0,0,0,0,0,0,0,0,0
"Black-lored Babbler",0,0,0,0,0,0,0,0,0,0
"Black-headed Weaver",0,0,0,0,0,0,0,0,0,0
"Brown-capped Weaver",0,0,0,0,0,0,0,0,0,0
"Chestnut Wattle-eye",0,0,0,0,0,0,0,0,0,0
"Brown-throat. Wattle-eye",0,0,0,0,0,0,0,0,0,0
"Spectacled Weaver",0,1,0,2,0,0,0,0,0,0
"Afr. Parad. Flycatcher",0,0,0,0,0,0,0,0,0,0
"African Penduline Tit",0,0,0,0,0,0,0,0,0,0
"Beglafecht Weaver",0,1,0,0,0,0,0,0,0,0
"Bl.-fac. Rufous Warbler",0,0,0,0,0,2,0,0,0,0
"Black-necked Weaver",0,0,0,0,0,0,0,0,0,0
"Blue-headed Coucal",0,1,0,0,0,0,0,0,0,1
"Crowned Hornbill",0,0,0,0,0,0,0,0,0,0
"Double-toothed Barbet",0,0,0,0,0,0,0,0,0,0
"Grey-winged Robin",0,0,0,0,0,0,0,2,0,0
"Lemon Dove",0,0,0,0,0,0,0,0,0,0
"L_hder's Bush-Shrike",0,2,0,0,0,0,0,0,0,0
"Red-headed Bluebill",0,0,0,0,0,2,0,0,0,0
"Common Redstart",0,0,0,0,0,0,0,0,0,0
"Scarlet-chested Sunbird",0,0,0,0,0,0,0,0,0,0
"White-bellied Canary",0,0,0,0,0,0,0,0,0,0
"White-bellied Tit",0,0,0,0,0,0,0,0,0,0
"White-chinned Prinia",2,0,0,0,0,0,0,0,0,0
"African Golden Oriole",0,0,0,0,0,0,0,0,0,0
"Amethyst Sunbird",0,0,0,0,0,0,0,0,0,0
"Banded Prinia",0,0,0,0,0,0,0,0,0,0
"Black Cuckoo-Shrike",0,0,0,0,0,0,0,0,0,0
"Cassin's Honeyguide",0,0,0,0,0,0,0,0,0,0
"Fork-tailed Drongo",0,1,0,0,0,0,0,0,0,0
"Greater Whitethroat",0,0,0,0,0,0,0,0,0,0
"Green Hylia",0,0,0,0,0,0,0,0,0,0
"Green-headed Sunbird",0,0,0,0,0,0,0,0,0,0
"Eastern Olive Sunbird",0,0,0,0,0,0,0,0,0,0
"Red-headed Malimbe",0,1,0,0,0,0,0,0,0,0
"Snowy-crown. Robin-Chat",0,0,0,0,0,0,0,0,0,0
"White-brow. Robin-Chat",0,0,0,0,0,0,0,0,0,0
"Yellow-throat. Greenbul",0,1,0,0,0,0,0,0,0,0
